hidden_dim,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,relative_update_fro_norm_Adam,relative_update_fro_norm_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_muon_higher
128,0.0003,1,1,0.007807042464470726,0.006545219174255212,0.03665664357222498,0.036656643572224805,0.5068680909746738,0.4261776246420579,0.008082634623737909,0.006644908727813002,0.8383737124579534,False,0.8221216270617447,False,0.8408057879961363,False
128,0.0003,1,2,0.00834125556339993,0.006520297636682493,0.03662115886625271,0.03662115886625248,0.49976371275335446,0.43263757490088095,0.008360165868843115,0.006583054625905265,0.78169258658043,False,0.7874311023468046,False,0.8656842500976019,False
128,0.0003,1,3,0.009046408868778055,0.00691320801367068,0.03658268842071798,0.036582688420717976,0.4884042234835824,0.42858776211085703,0.008920381404039397,0.006879171469480031,0.7641936279853867,False,0.7711745897282991,False,0.8775267319637826,False
128,0.0003,1,4,0.011279279163919576,0.007869120084079029,0.03652865883001406,0.036528658830014084,0.4353605861995815,0.39168117098214494,0.010960509453004239,0.007784028237491776,0.6976616120337686,False,0.7101885428654232,False,0.8996707175568421,False
128,0.0003,2,0,0.008433445766222292,0.00671148283593892,0.03689308062392996,0.03689308062392982,0.520423651379844,0.4051013048050348,0.008878816624193112,0.006911331162695416,0.7958173944533808,False,0.778406791718542,False,0.7784067917185448,False
128,0.0003,2,1,0.007649759124721545,0.006423495460141204,0.03686473564781164,0.036864735647811564,0.5285115817199131,0.4448078427503933,0.007818567227232624,0.006504218272518207,0.8396990487429267,False,0.831893885859746,False,0.8416236429538096,False
128,0.0003,2,2,0.009646642028797281,0.007490354217515538,0.03683092915048166,0.036830929150481695,0.44686555866019595,0.3797340281447943,0.009489928867609599,0.007504202123771405,0.776472703678154,False,0.7907543068509454,False,0.8497724221202521,False
128,0.0003,2,3,0.01037099711154399,0.007383761550557644,0.03679025913842635,0.03679025913842633,0.4499730036775987,0.39786560446634733,0.009976694409237603,0.007337162282294573,0.7119625500945088,False,0.7354301917377524,False,0.8841988324068752,False
128,0.0003,2,4,0.01126985570101624,0.007433628997763897,0.03673621239488343,0.03673621239488324,0.49754116001370413,0.4237952150633229,0.010845003544585268,0.0073657216369220745,0.6596028551717465,False,0.6791811184422949,False,0.8517792076773106,False
128,0.001,0,0,0.007704805321069763,0.006366289949231163,0.03685642452454563,0.036856424524545676,0.5269867638459795,0.43090582092528146,0.008031224123613779,0.006566960427552921,0.8262752508258371,False,0.8176786410734621,False,0.817678641073461,False
128,0.001,0,1,0.009909467896955348,0.007201980358900517,0.03682776151129027,0.03682776151129007,0.5065138983308372,0.3878561108923643,0.009911317142611977,0.00727319196204201,0.7267777073190077,False,0.7338269835774088,False,0.765736364136311,False
128,0.001,0,2,0.009049019457699536,0.006710607939887758,0.03678655686022579,0.03678655686022575,0.48499991914945256,0.40702964564635064,0.008863673343165616,0.006738582105925892,0.7415839883268132,False,0.7602471170851205,False,0.8392365226785214,False
128,0.001,0,3,0.010915821314511298,0.007354034808080279,0.03673955543061486,0.03673955543061494,0.4803699812328057,0.4040161380062863,0.010551740867752008,0.00729221499985876,0.6737042130127172,False,0.691091175499302,False,0.8410520094728495,False
128,0.001,0,4,0.012721445498846684,0.008137831656927386,0.036678682187079155,0.036678682187079134,0.4495489513005717,0.3833566954415069,0.012285146127432974,0.008050685886910575,0.6396939449738754,False,0.6553186916461038,False,0.8527585134665164,False
128,0.001,1,0,0.008669787340076951,0.006839602005636269,0.036685440472943774,0.036685440472943656,0.5061002342939304,0.39555339614283913,0.008957190450071503,0.007000682596732933,0.7889007812244173,False,0.7815712567189022,False,0.7815712567189045,False
128,0.001,1,1,0.007807042464470726,0.006545219174255212,0.03665664357222498,0.036656643572224805,0.5068680909746738,0.4261776246420579,0.008082634623737909,0.006644908727813002,0.8383737124579534,False,0.8221216270617447,False,0.8408057879961363,False
128,0.001,1,2,0.00834125556339993,0.006520297636682493,0.03662115886625271,0.03662115886625248,0.49976371275335446,0.43263757490088095,0.008360165868843115,0.006583054625905265,0.78169258658043,False,0.7874311023468046,False,0.8656842500976019,False
128,0.001,1,3,0.009046408868778055,0.00691320801367068,0.03658268842071798,0.036582688420717976,0.4884042234835824,0.42858776211085703,0.008920381404039397,0.006879171469480031,0.7641936279853867,False,0.7711745897282991,False,0.8775267319637826,False
128,0.001,1,4,0.011279279163919576,0.007869120084079029,0.03652865883001406,0.036528658830014084,0.4353605861995815,0.39168117098214494,0.010960509453004239,0.007784028237491776,0.6976616120337686,False,0.7101885428654232,False,0.8996707175568421,False
128,0.001,2,0,0.008433445766222292,0.00671148283593892,0.03689308062392996,0.03689308062392982,0.520423651379844,0.4051013048050348,0.008878816624193112,0.006911331162695416,0.7958173944533808,False,0.778406791718542,False,0.7784067917185448,False
128,0.001,2,1,0.007649759124721545,0.006423495460141204,0.03686473564781164,0.036864735647811564,0.5285115817199131,0.4448078427503933,0.007818567227232624,0.006504218272518207,0.8396990487429267,False,0.831893885859746,False,0.8416236429538096,False
128,0.001,2,2,0.009646642028797281,0.007490354217515538,0.03683092915048166,0.036830929150481695,0.44686555866019595,0.3797340281447943,0.009489928867609599,0.007504202123771405,0.776472703678154,False,0.7907543068509454,False,0.8497724221202521,False
128,0.001,2,3,0.01037099711154399,0.007383761550557644,0.03679025913842635,0.03679025913842633,0.4499730036775987,0.39786560446634733,0.009976694409237603,0.007337162282294573,0.7119625500945088,False,0.7354301917377524,False,0.8841988324068752,False
128,0.001,2,4,0.01126985570101624,0.007433628997763897,0.03673621239488343,0.03673621239488324,0.49754116001370413,0.4237952150633229,0.010845003544585268,0.0073657216369220745,0.6596028551717465,False,0.6791811184422949,False,0.8517792076773106,False
