run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,hidden_dim,num_factors,target_relative_update_norm
11,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=3e-04,1.0,0.01,Muon,2,4,1024,128,2.3015312006027653,0.4619140625,full_layer_input_activation,"[[0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999993,0.009999999999999993,0.009999999999999993,0.009999999999999993]]",64.0,64.0,63.99999999999995,1.0,0.9999999999999992,0.9999999999999992,0.00021485769988213125,0.3582746752440418,0.002685721248526639,2,8.215087546958307,1.7482512758830606,4.699031346514406,2.3695755700240793e-07,1.1134709881477888e-06,64,3,0.0003
11,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=3e-04,1.0,0.01,Muon,2,4,1024,128,2.3015312006027653,0.4619140625,full_layer_input_activation,"[[0.010000000000000009,0.010000000000000009,0.010000000000000005,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999995,0.009999999999999995]]",10.0,10.0,9.999999999999986,1.0,0.9999999999999986,0.9999999999999986,0.00016547999625542777,0.81372586151203,0.005232936953632863,3,6.621497776934948,1.6519589408524755,4.008270189522989,3.292500152884193e-05,0.00013197230211805592,64,3,0.0003
10,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=3e-04,1.0,0.01,Adam,2,5,1024,128,2.300066380809449,0.7919921875,full_layer_input_activation,,,,,,,,,,,1,9.205049245281877,2.3416526607814494,3.9310053960820968,2.244091445775524e-09,8.821535582645258e-09,64,3,0.0003
10,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=3e-04,1.0,0.01,Adam,2,5,1024,128,2.300066380809449,0.7919921875,full_layer_input_activation,,,,,,,,,,,2,5.317044391472329,1.3156562684132331,4.041362868954389,1.7517408863152702e-07,7.079420573983785e-07,64,3,0.0003
10,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=3e-04,1.0,0.01,Adam,2,5,1024,128,2.300066380809449,0.7919921875,full_layer_input_activation,,,,,,,,,,,3,4.895306427954674,1.2932154505651208,3.7853757669037122,3.169511296214923e-05,0.00011997791253619547,64,3,0.0003
11,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=3e-04,1.0,0.01,Muon,2,5,1024,128,2.300949733388889,0.435546875,full_layer_input_activation,,,,,,,,,,,1,9.74196972593344,2.3416526607814494,4.160296652485761,3.1649953501962605e-09,1.3167319560554502e-08,64,3,0.0003
11,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=3e-04,1.0,0.01,Muon,2,5,1024,128,2.300949733388889,0.435546875,full_layer_input_activation,,,,,,,,,,,2,7.0554802137807195,1.7173231257033819,4.108417401583021,3.515265834398318e-07,1.4442179325232308e-06,64,3,0.0003
11,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=3e-04,1.0,0.01,Muon,2,5,1024,128,2.300949733388889,0.435546875,full_layer_input_activation,,,,,,,,,,,3,5.817277957378711,1.6647383589325757,3.494409752838716,5.192406384852279e-05,0.00018144395511929823,64,3,0.0003
12,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Adam,0,0,1024,128,2.3025584320160726,0.859375,full_layer_input_activation,"[[0.05552298872627052,0.030036064725193375,0.02940772718275365,0.028564374210435714,0.02433786521127365,0.020126130415957347,0.01956288470830924,0.018500925312754275,0.017677786995496526,0.01650857961801832,0.01452853417972014,0.01378060633627487,0.01351584981038461,0.013079252142585927,0.01265167639454621,0.012412464474798122,0.011946180681976431,0.011570443130335275,0.011202020196871118,0.010989958182754942,0.010660942475937409,0.010476940050859378,0.010363709581703016,0.010097362984121354,0.009897134319145568,0.009665685472780806,0.009421555586250737,0.009057891501276682,0.008979509246935986,0.008599378685135762,0.00855299001262833,0.008395519471986364,0.008108401802128498,0.008080876296307623,0.007951516245239721,0.007713524901660081,0.007642298597217782,0.007580716397445761,0.007369649413928566,0.0073085615252877455,0.0071425480248578,0.007033936590138164,0.006946641154149148,0.00686470399733389,0.006708045176571633,0.0065625953697867265,0.006436045313997308,0.0063034146745186495,0.0061826221604775,0.006115441437765956,0.0058782376577780305,0.005781541234679637,0.005698008765813442,0.005585083397998775,0.005468228625860778,0.005377926897457783,0.005299210891494136,0.00520235493320582,0.004960004239316834,0.004817962911323896,0.004567673403454713,0.004148912853241707,0.003455748163562192,0.0033630178127011853]]",64.0,40.80589264694717,3.8701396270602437,0.6375920726085496,0.06047093167281631,0.09484266550776661,0.00029955210080829126,0.6072367171700896,0.002742434206596685,1,12.544568289251849,2.2813227353345487,5.49881351505149,5.054579634763165e-10,2.7794190808539717e-09,64,3,0.001
12,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Adam,0,0,1024,128,2.3025584320160726,0.859375,full_layer_input_activation,"[[0.021895095027595582,0.01339551210465603,0.012436967340421141,0.009679280172781728,0.008903207368135959,0.008520602209638784,0.007339487869399998,0.00649194497221874,0.005916712674916997,0.005785797687457789,0.005312706660673576,0.005220435652260524,0.00498670931288372,0.004835880018110724,0.004739958901485133,0.004501388036304054,0.004203557348464025,0.004143908782692384,0.003939744053601856,0.0038030674064715845,0.0037578709965292766,0.0036225446252263595,0.003571775726078682,0.003306352617824048,0.003242243646342817,0.003056473315810958,0.002941687602159841,0.0029105653677239216,0.0028134184602425514,0.0027361373982377245,0.002632790395258041,0.0025232470715467895,0.0024398456750271786,0.0023891054813157927,0.002255347689369229,0.00218501270159951,0.001987445994101619,0.0018719344830201861,0.0018589775598748563,0.001775299162929236,0.0016928446648701966,0.001641308118422469,0.001603579993501343,0.0015610510038910367,0.0014479165527946345,0.0013114748034716,0.0012281435666031655,0.0011827922498996093,0.001150971564466555,0.0010208987576959855,0.0009815869339287705,0.0008873462576059299,0.0008207320118859599,0.0006791972570698905,0.0005717128224214918,0.0005113059224828619,0.00047732774953026066,0.0004089167572641005,0.00026857267514437114,0.00018335639035260874,0.00015588810967438047,0.00011057556158169225,2.6170122997042787e-20,2.058076120044106e-21]]",64.0,30.00159223692082,3.359899012321775,0.46877487870188783,0.052498422067527736,0.1119906898870183,0.00011390105945717328,0.6010084895999701,0.0028380354584417507,2,8.892193122752056,1.6158219452135465,5.5032011101797895,1.0114138292383439e-07,5.566013707915647e-07,64,3,0.001
12,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Adam,0,0,1024,128,2.3025584320160726,0.859375,full_layer_input_activation,"[[0.009060423146606893,0.006346354180319393,0.005521785072192871,0.005066406510179661,0.004746519883236767,0.004111390257001174,0.0037484336545605093,0.0031674791884366976,0.003083063661983075,0.002618649692278157]]",10.0,8.720597402296619,3.1477809970534754,0.8720597402296619,0.31477809970534754,0.3609593301743857,5.12638032183605e-05,0.6054227128056264,0.0031890408874515196,3,4.7727195279174275,1.4395535974603548,3.315416345968228,3.135481829202366e-05,0.00010395427709023883,64,3,0.001
13,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Muon,0,0,1024,128,2.3025584320160726,0.859375,full_layer_input_activation,"[[0.010000000000000007,0.010000000000000007,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999993,0.009999999999999992,0.009999999999999992,0.009999999999999988]]",64.0,63.99999999999999,63.99999999999989,0.9999999999999999,0.9999999999999983,0.9999999999999984,0.0001599580324722119,0.44272890070511633,0.001999475405902651,1,12.544568289251849,2.2813227353345487,5.49881351505149,5.054579634763165e-10,2.7794190808539717e-09,64,3,0.001
13,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Muon,0,0,1024,128,2.3025584320160726,0.859375,full_layer_input_activation,"[[0.010000000000000009,0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999993,0.009999999999999993,0.009999999999999993,0.00999999999999999]]",64.0,63.99999999999999,63.99999999999987,0.9999999999999999,0.999999999999998,0.9999999999999981,0.00014081264414565937,0.37274725692216804,0.001760158051820742,2,8.892193122752056,1.6158219452135465,5.5032011101797895,1.0114138292383439e-07,5.566013707915647e-07,64,3,0.001
13,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Muon,0,0,1024,128,2.3025584320160726,0.859375,full_layer_input_activation,"[[0.010000000000000007,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.01,0.01,0.01,0.01,0.009999999999999997]]",10.0,10.0,9.999999999999991,1.0,0.9999999999999991,0.9999999999999991,0.0001150758878935842,0.6908487191793453,0.0036390190950992196,3,4.7727195279174275,1.4395535974603548,3.315416345968228,3.135481829202366e-05,0.00010395427709023883,64,3,0.001
12,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Adam,0,1,1024,128,2.3023155593463467,0.8515625,full_layer_input_activation,"[[0.0537379489587508,0.03624657907541771,0.03201716816728748,0.029726292301104854,0.027876185891699448,0.0224243132234849,0.021370131686745328,0.01791355740385083,0.017195715412430774,0.01562826530534536,0.01390434672258457,0.013104718679753366,0.012209098163243278,0.011891298163048198,0.011396936782326594,0.011050680070479808,0.010786461400993904,0.010544344966637692,0.010456572353347727,0.010299389850082639,0.010037065365624232,0.009482632904163409,0.009417634164908161,0.00931189505148204,0.009179207286286985,0.008929870814418216,0.008466202106086621,0.008272997936538625,0.008126539989842037,0.007983256517443395,0.007831153139046592,0.007766826341346622,0.007411275965495994,0.007293773254522946,0.007229759467074243,0.007067469546412693,0.006929008577446925,0.006808653188817945,0.006722694564690788,0.006598722290230384,0.006498638722432492,0.006398477093252173,0.006193834258510058,0.006099467452025333,0.006037276646471318,0.005963736232300724,0.005881726335377932,0.005700249080939062,0.005572213252340468,0.005397853455397919,0.005302854946634459,0.005160811159322202,0.004991971608722625,0.004937657834565665,0.004770407373623722,0.004573611868484138,0.004483754498252511,0.004367258865670217,0.004220180309561802,0.004110024287307569,0.003918852434787327,0.003895508584511734,0.003810508889262423,0.003244949951298596]]",64.0,37.625203419453506,4.15841820759374,0.587893803428961,0.06497528449365218,0.11052214552131023,0.0002728567050273676,0.5643968369613346,0.0024899433251121925,1,13.651084554572911,2.2813227353345487,5.983846276169699,4.823235171738782e-10,2.886149782149983e-09,64,3,0.001
12,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Adam,0,1,1024,128,2.3023155593463467,0.8515625,full_layer_input_activation,"[[0.021143472041741277,0.014112113106991526,0.011970486149740235,0.010479104608803377,0.010091759774170029,0.008587018531292635,0.007560996001665271,0.00661182224019542,0.006165070940129997,0.005284247384749468,0.00521082386047631,0.004641657359048505,0.004299190036454004,0.004218967786624388,0.004026346959033352,0.00388981820953473,0.00376877921244535,0.003555894434021913,0.0034580704233813345,0.0032608953263725503,0.0032464032066593586,0.0031707039536923317,0.0030602479009163917,0.0029676884255936875,0.0028099002446016013,0.0027594324288461435,0.0026354249217535276,0.0025394543032464245,0.0023935493917362116,0.0023544237757334697,0.0022513703572345197,0.0022303212855137857,0.0021035487950084955,0.002068755782660028,0.0019960051760523957,0.001886159117064776,0.0018103583265116116,0.001772812060082038,0.0016671991339330154,0.001599311640599652,0.0015492537132765938,0.0014505860168247836,0.0013582536709810795,0.001277799228632803,0.0012177766149692772,0.0011588590558262689,0.0010594601568108522,0.0009567805292093989,0.0009024163980695606,0.0008900051994336394,0.0007675832304274936,0.0007452208056662114,0.0007009449450883788,0.0006569395158522082,0.0005365516659772042,0.0004432030254255775,0.00036867518818411,0.00035036941316167263,0.0003001843267836418,0.0002348299929503798,0.00019689997378050976,7.069020912783258e-05,2.699226100197404e-05,1.3505560096911034e-20]]",64.0,27.75745687942749,3.449087600354894,0.43371026374105454,0.053891993755545216,0.12425805488366601,0.00011347930481444811,0.5297065935455936,0.0028899361553839454,2,7.761546596630639,1.4916437877234225,5.203351269592636,1.0553340481081041e-07,5.49127375906764e-07,64,3,0.001
12,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Adam,0,1,1024,128,2.3023155593463467,0.8515625,full_layer_input_activation,"[[0.008172585278560903,0.005906871223843408,0.005521727007931661,0.005167759317997661,0.005017445277035511,0.004600936382746635,0.0038230654757955337,0.0033849177315915255,0.0030127464794910937,0.002817605101525844]]",10.0,9.058008626278616,3.717706508301187,0.9058008626278615,0.37177065083011873,0.41043309425822067,5.5406224096169685e-05,0.6086086933365853,0.003516102624684601,3,5.214169977037084,1.2723714086661724,4.097993668769327,2.178138519281428e-05,8.925997861717889e-05,64,3,0.001
13,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-03,1.0,0.01,Muon,0,1,1024,128,2.302311050552228,0.7646484375,full_layer_input_activation,"[[0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999993,0.009999999999999993,0.009999999999999992]]",64.0,63.999999999999986,63.99999999999992,0.9999999999999998,0.9999999999999988,0.999999999999999,0.00017893057252280027,0.45787770869419114,0.002236632156535003,1,13.417727751618758,2.2813227353345487,5.8815561445106495,5.913148469138157e-10,3.477851471206327e-09,64,3,0.001
